nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
Chafariz Marília de Dirceu,Largo Marilia de Dirceu Bairro Antônio Dias | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,3.5,43,-20.317930221557617,-43.68659973144531,https://www.tripadvisor.com.br/Attraction_Review-g303389-d7331520-Reviews-Chafariz_Marilia_de_Dirceu-Ouro_Preto_State_of_Minas_Gerais.html
Passo de Antônio Dias,Rua Claudio Manoel sn | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,12,-20.385770797729492,-43.50265121459961,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10034756-Reviews-Passo_de_Antonio_Dias-Ouro_Preto_State_of_Minas_Gerais.html
Prédio do Ministério Público,Praca Reinaldo Alves de Brito 68 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,2,-20.384899139404297,-43.50577163696289,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10195167-Reviews-Predio_do_Ministerio_Publico-Ouro_Preto_State_of_Minas_Gerais.html
Mirante da Igreja S. Francisco de Paula,Rua Sao Francisco de Paula | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,12,-20.38205909729004,-43.507659912109375,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10083078-Reviews-Mirante_da_Igreja_S_Francisco_de_Paula-Ouro_Preto_State_of_Minas_Gerais.html
Largo da Alegria,Rua Sao Jose Praça Silviano Brandão | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,5,-20.384559631347656,-43.5070915222168,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10056606-Reviews-Largo_da_Alegria-Ouro_Preto_State_of_Minas_Gerais.html
Ponte da Barra,Rua Antonio Martins |3 | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,4.0,4,-20.390750885009766,-43.50157928466797,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10034886-Reviews-Ponte_da_Barra-Ouro_Preto_State_of_Minas_Gerais.html
Mina Felipe dos Santos,Rua Treze de Maio | 637 Alto da Cruz | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,3.0,36,-20.384199142456055,-43.490840911865234,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389323-Reviews-Felipe_dos_Santos_mine-Ouro_Preto_State_of_Minas_Gerais.html
Chafariz do Museu da Inconfidência,Praca Tiradentes sn | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,14,-20.385000228881836,-43.50352096557617,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10173716-Reviews-Chafariz_do_Museu_da_Inconfidencia-Ouro_Preto_State_of_Minas_Gerais.html
Oratório do Vira-Saia,Rua Barao do Ouro Branco | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,5,-20.388370513916016,-43.498008728027344,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10034731-Reviews-Oratorio_do_Vira_Saia-Ouro_Preto_State_of_Minas_Gerais.html
Oratório Nossa Senhora do Bonsucesso,Rua Bernardo de Vasconcelos | 55 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,23,-20.529903411865234,-43.552059173583984,https://www.tripadvisor.com.br/Attraction_Review-g303389-d7297004-Reviews-Oratorio_Nossa_Senhora_do_Bonsucesso-Ouro_Preto_State_of_Minas_Gerais.html
Casa da Câmara,Praca Tiradentes 41 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,3,-20.38534927368164,-43.50347137451172,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10178046-Reviews-Casa_da_Camara-Ouro_Preto_State_of_Minas_Gerais.html
Fórum,Praca Reinaldo Alves de Brito 13 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,4,-20.384370803833008,-43.50593948364258,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10056644-Reviews-Forum-Ouro_Preto_State_of_Minas_Gerais.html
Mirante da Rua Getúlio Vargas,Rua Getulio Vargas | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,10,-20.38368034362793,-43.509178161621094,https://www.tripadvisor.com.br/Attraction_Review-g303389-d9754942-Reviews-Mirante_da_Rua_Getulio_Vargas-Ouro_Preto_State_of_Minas_Gerais.html
Câmara Municipal,Praca Tiradentes 41 Centro | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,4,-20.385189056396484,-43.50364685058594,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10083107-Reviews-Camara_Municipal-Ouro_Preto_State_of_Minas_Gerais.html
Passos da Paixão de Jesus Cristo,Rua Alvarenga 218 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,5,-20.383041381835938,-43.51360321044922,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10034095-Reviews-Passos_da_Paixao_de_Jesus_Cristo-Ouro_Preto_State_of_Minas_Gerais.html
Chafariz da Rua Barão de Ouro Branco,Rua Barao do Ouro Branco Antonio Dias | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,4,-20.388370513916016,-43.498008728027344,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10082893-Reviews-Chafariz_da_Rua_Barao_de_Ouro_Branco-Ouro_Preto_State_of_Minas_Gerais.html
Fundação de Arte de Ouro Preto - FAOP,Rua Getulio Vargas 185 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,4,-20.384159088134766,-43.50876998901367,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10083159-Reviews-Fundacao_de_Arte_de_Ouro_Preto_FAOP-Ouro_Preto_State_of_Minas_Gerais.html
Ponte do Rosário ou Caquende,Rua Bernardo Guimaraes | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,3,-20.38372039794922,-43.51123046875,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10082714-Reviews-Ponte_do_Rosario_ou_Caquende-Ouro_Preto_State_of_Minas_Gerais.html
Mina do Bijoca,indef,Ouro Preto ,4.5,4,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303389-d19950864-Reviews-Mina_do_Bijoca-Ouro_Preto_State_of_Minas_Gerais.html
Chafariz dos Contos,Praca Reinaldo Alves de Brito sn ao lado da Casa dos Contos | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,3.5,11,-20.384899139404297,-43.50577163696289,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10034431-Reviews-Chafariz_dos_Contos-Ouro_Preto_State_of_Minas_Gerais.html
Chafariz da Barra,Praca Prefeito Amadeu Barbosa Barra | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,3.5,2,-20.38960075378418,-43.498870849609375,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10082785-Reviews-Chafariz_da_Barra-Ouro_Preto_State_of_Minas_Gerais.html
Passo da Flagelação,Rua Getulio Vargas | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,4,-20.384069442749023,-43.50876998901367,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10082973-Reviews-Passo_da_Flagelacao-Ouro_Preto_State_of_Minas_Gerais.html
Centro Cultural Comunitario Casa do Padre Faria,Rua Padre Faria | 359 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,1,-20.387683868408203,-43.49358367919922,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10088025-Reviews-Centro_Cultural_Comunitario_Casa_do_Padre_Faria-Ouro_Preto_State_of_Minas_Gerais.html
Chafariz da Rua das Cabeças,Rua Alvarenga 119 Cabeças | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,3,-20.383699417114258,-43.51285171508789,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10082859-Reviews-Chafariz_da_Rua_das_Cabecas-Ouro_Preto_State_of_Minas_Gerais.html
Chafariz do Alto da Cruz,Rua do Resende | sn esquina Rua Padre Faria | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,5.0,2,-20.387338638305664,-43.494529724121094,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10034848-Reviews-Chafariz_do_Alto_da_Cruz-Ouro_Preto_State_of_Minas_Gerais.html
Capela do Nosso Senhor do Bonfim,Rua Antonio de Albuquerque | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,5.0,4,-20.386009216308594,-43.50802993774414,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10034828-Reviews-Capela_do_Nosso_Senhor_do_Bonfim-Ouro_Preto_State_of_Minas_Gerais.html
Pratique Cicloturismo,Sitio Passa Dez Bairro Passa Dez | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,5.0,2,-20.377710342407227,-43.521324157714844,https://www.tripadvisor.com.br/Attraction_Review-g303389-d12873288-Reviews-Pratique_Cicloturismo-Ouro_Preto_State_of_Minas_Gerais.html
Botica de Tiradentes,Rua Alvarenga | 7 Rosario | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,5,-20.382389068603516,-43.51451873779297,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10060141-Reviews-Botica_de_Tiradentes-Ouro_Preto_State_of_Minas_Gerais.html
Trilha do Veloso,indef,Ouro Preto ,5.0,1,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303389-d19913178-Reviews-Trilha_do_Veloso-Ouro_Preto_State_of_Minas_Gerais.html
Coluna Saldanha Marinho,Rua Diogo de Vasconcelos Praça Cesário Alvim | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,4.5,2,-20.388259887695312,-43.506919860839844,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10034302-Reviews-Coluna_Saldanha_Marinho-Ouro_Preto_State_of_Minas_Gerais.html
Chafariz do Alto das Cabeças,Rua Alvarenga Cabeças | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,3,-20.381790161132812,-43.51554870605469,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10085016-Reviews-Chafariz_do_Alto_das_Cabecas-Ouro_Preto_State_of_Minas_Gerais.html
Ecomuseu da Serra de Ouro Preto,Praça Tiradentes | 20 Escola de Minas | sala 27 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,2,-20.386077880859375,-43.50374984741211,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4410449-Reviews-The_Sierra_of_Black_Gold_Ecomuseum-Ouro_Preto_State_of_Minas_Gerais.html
Passo da Coroação de Espinhos,Rua Sao Jose sn | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,4,-20.384559631347656,-43.5070915222168,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10034451-Reviews-Passo_da_Coroacao_de_Espinhos-Ouro_Preto_State_of_Minas_Gerais.html
Chafariz do Alto das Cabeças,Rua Alvarenga Capela de Bom Jesus | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,3,-20.381790161132812,-43.515560150146484,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10034109-Reviews-Chafariz_do_Alto_das_Cabecas-Ouro_Preto_State_of_Minas_Gerais.html
Capela de Bom Jesus da Pedra Fria,Rua Alvarenga Cabeças | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,3,-20.381790161132812,-43.51554870605469,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10082956-Reviews-Capela_de_Bom_Jesus_da_Pedra_Fria-Ouro_Preto_State_of_Minas_Gerais.html
Chafariz do Rosário,Rua Professora Zizinha Cruz Largo do Rosário | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,3.5,3,-20.383319854736328,-43.51042175292969,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10082966-Reviews-Chafariz_do_Rosario-Ouro_Preto_State_of_Minas_Gerais.html
Passo da Cruz às Costas,Praca Tiradentes esquina Rua Conde de Bobadela | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,3.5,3,-20.385000228881836,-43.50352096557617,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10082952-Reviews-Passo_da_Cruz_as_Costas-Ouro_Preto_State_of_Minas_Gerais.html
Herbário Professor José Badini,Rua do Cruzeiro s/n Bauxita | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,5.0,1,-20.38896942138672,-43.49515914916992,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4375730-Reviews-Professor_Jose_Badini_Herbarium-Ouro_Preto_State_of_Minas_Gerais.html
Gruta Lapa Da Alzira,Não Tem | Lavras Novas | Ouro Preto | Minas Gerais 35418-000 Brasil,Lavras Novas ,5.0,1,-20.477590560913086,-43.51601028442383,https://www.tripadvisor.com.br/Attraction_Review-g2613515-d20910343-Reviews-Gruta_Lapa_Da_Alzira-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
Biblioteca Pública Municipal,R. Xavier da Veiga | 309 | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,5.0,0,-20.388160705566406,-43.5040397644043,https://www.tripadvisor.com.br/Attraction_Review-g303389-d12121693-Reviews-Biblioteca_Publica_Municipal-Ouro_Preto_State_of_Minas_Gerais.html
Transcotta,indef,Ouro Preto ,indef,0,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303389-d16648609-Reviews-Transcotta-Ouro_Preto_State_of_Minas_Gerais.html
Casa De Claudio Manuel Da Costa,Rua Carlos Tomás nº: 6 Bairro Antonio Dias | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,5.0,0,-20.386259078979492,-43.5020866394043,https://www.tripadvisor.com.br/Attraction_Review-g303389-d23020757-Reviews-Casa_De_Claudio_Manuel_Da_Costa-Ouro_Preto_State_of_Minas_Gerais.html
Praça Minas Gerais,Rua Dom Silvério | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.5,566,-20.380239486694336,-43.4188117980957,https://www.tripadvisor.com.br/Attraction_Review-g303386-d6854713-Reviews-Praca_Minas_Gerais-Mariana_State_of_Minas_Gerais.html
Maria Fumaça Ouro Preto Mariana,Mariana | Brasil,Mariana ,4.0,0,-20.373254776000977,-43.4162712097168,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389606-Reviews-Maria_Fumaca_Ouro_Preto_Mariana-Mariana_State_of_Minas_Gerais.html
Minas da Passagem,R. Eugenio E. Rapallo | 192 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,1.406,-20.39212989807129,-43.43927001953125,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389589-Reviews-Minas_da_Passagem-Mariana_State_of_Minas_Gerais.html
Basílica de São Pedro dos Clérigos,Largo de São Pedro | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.5,345,-20.383569717407227,-43.4186897277832,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389472-Reviews-Sao_Pedro_dos_Clerigos_Cathedral-Mariana_State_of_Minas_Gerais.html
Centro Histórico de Mariana,Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,402,-20.378192901611328,-43.41811752319336,https://www.tripadvisor.com.br/Attraction_Review-g303386-d7620319-Reviews-Centro_Historico_de_Mariana-Mariana_State_of_Minas_Gerais.html
Igreja N S do Carmo,Praça Minas Gerais | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.5,235,-20.37813949584961,-43.41804885864258,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389578-Reviews-Our_Lady_of_Carmo_Church-Mariana_State_of_Minas_Gerais.html
Praça Gomes Freire,Rua Dom Viçoso | 1 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.5,216,-20.37980079650879,-43.416778564453125,https://www.tripadvisor.com.br/Attraction_Review-g303386-d6854689-Reviews-Praca_Gomes_Freire-Mariana_State_of_Minas_Gerais.html
Rua Direita,Rua Direita | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.5,112,-20.377573013305664,-43.41770553588867,https://www.tripadvisor.com.br/Attraction_Review-g303386-d7620352-Reviews-Rua_Direita-Mariana_State_of_Minas_Gerais.html
Gruta da Lapa,Rua da Lapa 2 Distrito de Antônio Pereira | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,33,-20.36874008178711,-43.415828704833984,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389567-Reviews-Gruta_da_Lapa-Mariana_State_of_Minas_Gerais.html
Cachoeira do Brumado,Ferrovia Mariana Ouro Preto Distrito do município de Mariana | MG | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,68,-20.397724151611328,-43.272010803222656,https://www.tripadvisor.com.br/Attraction_Review-g303386-d313970-Reviews-Cachoeira_do_Bromado-Mariana_State_of_Minas_Gerais.html
Casa de Câmara e Cadeia,Praça Minas Gerais | 89 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,293,-20.378156661987305,-43.41809844970703,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389554-Reviews-Casa_de_Camara_e_Cadeia-Mariana_State_of_Minas_Gerais.html
Catedral Basílica da Sé,Praça Cláudio Manoel | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.5,298,-20.20672035217285,-43.20355987548828,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389560-Reviews-Catedral_Basilica_da_Se-Mariana_State_of_Minas_Gerais.html
Museu Arquidiocesano de Arte Sacra,Rua Frei Durão | 49 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.5,83,-20.37875747680664,-43.416561126708984,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389593-Reviews-Museu_Arquidiocesano_de_Arte_Sacra-Mariana_State_of_Minas_Gerais.html
Pelourinho,Praca Minas Gerais | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,157,-20.37819480895996,-43.41801452636719,https://www.tripadvisor.com.br/Attraction_Review-g303386-d7620419-Reviews-Pelourinho-Mariana_State_of_Minas_Gerais.html
Igreja São Francisco de Assis,Praça Minas Gerais | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,164,-20.37813949584961,-43.41804885864258,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389585-Reviews-Sao_Francisco_de_Assis_Church-Mariana_State_of_Minas_Gerais.html
Museu Estação Ferroviária de Mariana,Praca Juscelino Kubitschek | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,64,-20.3734130859375,-43.4168701171875,https://www.tripadvisor.com.br/Attraction_Review-g303386-d7620340-Reviews-Museu_Estacao_Ferroviaria_de_Mariana-Mariana_State_of_Minas_Gerais.html
Museu Casa Alphonsus de Guimaraens,Rua Direita | 35 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,20,-20.377777099609375,-43.41694259643555,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389520-Reviews-Museu_Casa_Alphonsus_de_Guimaraens-Mariana_State_of_Minas_Gerais.html
Igreja de São Pedro dos Clérigos,Rua Dom Silverio | S/N Colina de São Pedro | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,5.0,11,-20.383333206176758,-43.418888092041016,https://www.tripadvisor.com.br/Attraction_Review-g303386-d14957757-Reviews-Igreja_de_Sao_Pedro_dos_Clerigos-Mariana_State_of_Minas_Gerais.html
Pico da Cartuxa,indef,Mariana ,5.0,5,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303386-d10182518-Reviews-Cartuxa_Peak-Mariana_State_of_Minas_Gerais.html
Centro de Atenção ao Turismo (CAT),Rua Direita | 91 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,27,-20.37763023376465,-43.41748809814453,https://www.tripadvisor.com.br/Attraction_Review-g303386-d8746621-Reviews-Centro_de_Atencao_ao_Turismo_CAT-Mariana_State_of_Minas_Gerais.html
Igreja de Nossa Senhora do Rosário,Rua Monsenhor Horta 226 Bairro Rosário | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,51,-20.373517990112305,-43.41984176635742,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389581-Reviews-Igreja_de_Nossa_Senhora_do_Rosario-Mariana_State_of_Minas_Gerais.html
Trem da Vale Ouro Preto - Mariana,Mariana | Brasil,Mariana ,4.5,0,-20.374113082885742,-43.41645050048828,https://www.tripadvisor.com.br/Attraction_Review-g303386-d13110539-Reviews-Trem_da_Vale_Ouro_Preto_e_Mariana-Mariana_State_of_Minas_Gerais.html
Museu da Música de Mariana,Rua Conego Amando 161 Chacara | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,45,-20.38389015197754,-43.41609191894531,https://www.tripadvisor.com.br/Attraction_Review-g303386-d4376764-Reviews-Museu_da_Musica_de_Mariana-Mariana_State_of_Minas_Gerais.html
Praça Cláudio Manoel da Costa,Mariana | Minas Gerais 35420-000 Brasil,Mariana ,3.5,50,-20.378087997436523,-43.41633224487305,https://www.tripadvisor.com.br/Attraction_Review-g303386-d7620405-Reviews-Praca_Claudio_Manoel_da_Costa-Mariana_State_of_Minas_Gerais.html
Rua Frei Durão,Rua Frei Durao | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.5,7,-20.37799072265625,-43.41619110107422,https://www.tripadvisor.com.br/Attraction_Review-g303386-d9878892-Reviews-Rua_Frei_Durao-Mariana_State_of_Minas_Gerais.html
Capela de Nossa Senhora dos Anjos,R. Dom Silvério | 304 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.5,9,-20.386131286621094,-43.41245651245117,https://www.tripadvisor.com.br/Attraction_Review-g303386-d12989597-Reviews-Chapel_of_Our_Lady_of_the_Angels-Mariana_State_of_Minas_Gerais.html
Museu Casa da Providência,Rua Dom Silverio 161 Centro | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,19,-20.37980842590332,-43.41850280761719,https://www.tripadvisor.com.br/Attraction_Review-g303386-d4376765-Reviews-Casa_da_Providencia_Museum-Mariana_State_of_Minas_Gerais.html
Seminário Maior São José,Rua Conego Amando 57 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,7,-20.385950088500977,-43.41484069824219,https://www.tripadvisor.com.br/Attraction_Review-g303386-d9857015-Reviews-Seminario_Maior_Sao_Jose-Mariana_State_of_Minas_Gerais.html
Igreja Nossa Senhora das Mercês,Rua das Mercês | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,3.5,15,-20.381980895996094,-43.41849899291992,https://www.tripadvisor.com.br/Attraction_Review-g303386-d8783232-Reviews-Igreja_Nossa_Senhora_das_Merces-Mariana_State_of_Minas_Gerais.html
Atelier e Casa dos Artistas "Mestre Ataíde",Rua Direita | 99 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.5,5,-20.377859115600586,-43.41720199584961,https://www.tripadvisor.com.br/Attraction_Review-g303386-d10034607-Reviews-Studio_and_Artists_House_Mestre_Ataide-Mariana_State_of_Minas_Gerais.html
Atelier Edney do Carmo,Rua Dom Silverio 418 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,5.0,6,-20.38224983215332,-43.419578552246094,https://www.tripadvisor.com.br/Attraction_Review-g303386-d9878888-Reviews-Atelier_Edney_do_Carmo-Mariana_State_of_Minas_Gerais.html
Casa do Barão de Pontal,Rua Direita 50 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,17,-20.37775993347168,-43.416969299316406,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389558-Reviews-Casa_Barao_de_Pontal-Mariana_State_of_Minas_Gerais.html
Cachoeiras da Passagem de Mariana,indef,Mariana ,4.0,20,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389475-Reviews-Passagem_de_Mariana_Waterfall-Mariana_State_of_Minas_Gerais.html
Chafariz São Francisco,Travessa Sao Francisco | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,3.5,31,-20.378599166870117,-43.41756820678711,https://www.tripadvisor.com.br/Attraction_Review-g303386-d7620409-Reviews-Chafariz_Sao_Francisco-Mariana_State_of_Minas_Gerais.html
SESI - Teatro Mariana,Rua Frei Durao 22 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,18,-20.37883949279785,-43.41645050048828,https://www.tripadvisor.com.br/Attraction_Review-g303386-d4127202-Reviews-SESI_Mariana_Theater-Mariana_State_of_Minas_Gerais.html
Capela de Nossa Senhora da Boa Morte,Rua do Seminario s/n |Centro | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,3,-20.38159942626953,-43.41501998901367,https://www.tripadvisor.com.br/Attraction_Review-g303386-d11694344-Reviews-Capela_de_Nossa_Senhora_da_Boa_Morte-Mariana_State_of_Minas_Gerais.html
Arquiconfraria de Sao Francisco Dos Cordoes,Rua Dom Silverio | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,16,-20.380239486694336,-43.4188117980957,https://www.tripadvisor.com.br/Attraction_Review-g303386-d6838841-Reviews-Arquiconfraria_de_Sao_Francisco_Dos_Cordoes-Mariana_State_of_Minas_Gerais.html
Casa Setecentista,Rua Direita | 2 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,7,-20.378070831298828,-43.41651916503906,https://www.tripadvisor.com.br/Attraction_Review-g303386-d8782964-Reviews-Casa_Setecentista-Mariana_State_of_Minas_Gerais.html
Capela de São Jorge,Praça Minas Gerais | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,8,-20.37813949584961,-43.41804885864258,https://www.tripadvisor.com.br/Attraction_Review-g303386-d10064179-Reviews-Sao_Jorge_Chapel-Mariana_State_of_Minas_Gerais.html
Capela de Santo Antônio,Rua do Rosário Velho Santo Antônio | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,3.5,3,-20.375139236450195,-43.42068099975586,https://www.tripadvisor.com.br/Attraction_Review-g303386-d10037889-Reviews-Santo_Antonio_Chapel-Mariana_State_of_Minas_Gerais.html
Casa da Intendência,Rua Frei Durão 84 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,3.5,11,-20.3785400390625,-43.416221618652344,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389514-Reviews-Casa_da_Intendencia-Mariana_State_of_Minas_Gerais.html
Chafariz de Assumar,Travessa Sao Francisco 10 Centro | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.5,3,-20.378755569458008,-43.41674041748047,https://www.tripadvisor.com.br/Attraction_Review-g303386-d10166478-Reviews-Chafariz_de_Assumar-Mariana_State_of_Minas_Gerais.html
Sociedade Musical União 15 de Novembro,Rua Direita 151 | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.5,5,-20.37738037109375,-43.41810989379883,https://www.tripadvisor.com.br/Attraction_Review-g303386-d10134835-Reviews-Sociedade_Musical_Uniao_15_de_Novembro-Mariana_State_of_Minas_Gerais.html
Chafariz São Pedro,Rua Dom Silvério Largo de São Pedro | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,4.0,8,-20.380239486694336,-43.4188117980957,https://www.tripadvisor.com.br/Attraction_Review-g303386-d8782839-Reviews-Chafariz_Sao_Pedro-Mariana_State_of_Minas_Gerais.html
Casa Conde de Assumar,Travessa Sao Francisco 22 Centro | Mariana | Minas Gerais 35420-000 Brasil,Mariana ,3.0,3,-20.378570556640625,-43.41741943359375,https://www.tripadvisor.com.br/Attraction_Review-g303386-d9856993-Reviews-Casa_Conde_de_Assumar-Mariana_State_of_Minas_Gerais.html
