nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
Minas de Chico Rei,Proximo a Igreja de Nossa Senhora da Conceição | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,673,-20.417720794677734,-43.613040924072266,https://www.tripadvisor.com.br/Attraction_Review-g303389-d313968-Reviews-Minas_de_Chico_Rei-Ouro_Preto_State_of_Minas_Gerais.html
Cachoeira do Pocinho,indef,Lavras Novas ,4.5,24,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g2613515-d13539759-Reviews-Cachoeira_do_Pocinho-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
Monumento a Tiradentes,Praca Tiradentes | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,153,-20.385499954223633,-43.503700256347656,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10083060-Reviews-Monumento_a_Tiradentes-Ouro_Preto_State_of_Minas_Gerais.html
Mina do Chico Rei,Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,103,-20.38627052307129,-43.49919509887695,https://www.tripadvisor.com.br/Attraction_Review-g303389-d9801110-Reviews-Chico_Rei_Mine-Ouro_Preto_State_of_Minas_Gerais.html
Estação Ferroviária de Ouro Preto,Praça Cesário Alvim | s/n. – Barra | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,4.0,255,-20.3907470703125,-43.50685119628906,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4740694-Reviews-Estacao_Ferroviaria_de_Ouro_Preto-Ouro_Preto_State_of_Minas_Gerais.html
Rua dos Bancos,Rua Sao Jose sn | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,115,-20.38513946533203,-43.50730895996094,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10194968-Reviews-Rua_dos_Bancos-Ouro_Preto_State_of_Minas_Gerais.html
Casa de Tomás Antônio Gonzaga,Rua Claudio Manoel 61 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,111,-20.385570526123047,-43.50301742553711,https://www.tripadvisor.com.br/Attraction_Review-g303389-d7296806-Reviews-Casa_de_Tomas_Antonio_Gonzaga-Ouro_Preto_State_of_Minas_Gerais.html
Museu Casa Guignard,Rua Conde de Bobadela (Rua Direita) | 110 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,92,-20.385278701782227,-43.50483322143555,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389273-Reviews-Guignard_House_Museum-Ouro_Preto_State_of_Minas_Gerais.html
Ponte de Antonio Dias,Rua da Conceicao 133 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,5.0,17,-20.386606216430664,-43.50065231323242,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10108779-Reviews-Ponte_de_Antonio_Dias-Ouro_Preto_State_of_Minas_Gerais.html
Museu da Pharmacia,Rua Costa Sena | 171 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,62,-20.386829376220703,-43.50413131713867,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389334-Reviews-Museu_da_Pharmacia-Ouro_Preto_State_of_Minas_Gerais.html
Museu do Aleijadinho,Praça Antônio Dias - sacristia da Matriz N.S. da Conceição | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,253,-20.386980056762695,-43.5004997253418,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389349-Reviews-Aleijadinho_Museum-Ouro_Preto_State_of_Minas_Gerais.html
Igreja São Francisco de Paula,Rua Henrique Adeodato | s/n | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,210,-20.382219314575195,-43.50912094116211,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389315-Reviews-Sao_Francisco_de_Paula_church-Ouro_Preto_State_of_Minas_Gerais.html
Igreja Nossa Senhora das Mercês e Misericórdia,Rua Felipe dos Santos 134 Antônio Dias | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,105,-20.387529373168945,-43.50143051147461,https://www.tripadvisor.com.br/Attraction_Review-g303389-d7050530-Reviews-Igreja_Nossa_Senhora_das_Merces_e_Misericordia-Ouro_Preto_State_of_Minas_Gerais.html
Igreja Matriz N S da Conceição,Praça Antônio Dias | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,166,-20.390079498291016,-43.506629943847656,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389295-Reviews-Our_Lady_of_Conceicao_church-Ouro_Preto_State_of_Minas_Gerais.html
Largo Marília de Dirceu,Rua Santa Ifigênia Antonio Dias | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,4.0,15,-20.399709701538086,-43.50020980834961,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10082918-Reviews-Largo_Marilia_de_Dirceu-Ouro_Preto_State_of_Minas_Gerais.html
Parque Natural Municipal Das Andorinhas,Santa Rita de Ouro Preto | Ouro Preto | Minas Gerais Brasil,Santa Rita de Ouro Preto ,4.5,34,-20.361112594604492,-43.48897171020508,https://www.tripadvisor.com.br/Attraction_Review-g3845586-d6467873-Reviews-Parque_Natural_Municipal_Das_Andorinhas-Santa_Rita_de_Ouro_Preto_Ouro_Preto_Stat.html
Cachoeira das Andorinhas,Rua das Andorinhas | s/n Parque Natural Municipal das Andorinhas | Ouro Preto | Minas Gerais 76600-000 Brasil,Ouro Preto ,4.5,61,-15.885766983032227,-50.18660354614258,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2414761-Reviews-Andorinhas_Waterfall-Ouro_Preto_State_of_Minas_Gerais.html
Casa Da Opera,Rua Brigadeiro Musqueira Centro | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,50,-20.385631561279297,-43.504981994628906,https://www.tripadvisor.com.br/Attraction_Review-g303389-d6406925-Reviews-Casa_Da_Opera-Ouro_Preto_State_of_Minas_Gerais.html
Teatro de Ouro Preto,Rua Diogo de Vasconcelos | 328 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,102,-20.385833740234375,-43.504825592041016,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4127534-Reviews-Ouro_Preto_Theater-Ouro_Preto_State_of_Minas_Gerais.html
