restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,faixa_preco,latitude,longitude,fonte
6628450,Zé Trembeco Bistrô,"Rua Dom Veloso, 295, Santa Rita de Ouro Preto, Ouro Preto, Minas Gerais 35400-000 Brasil",Santa Rita de Ouro Preto ,5.0,54,indef,-20.38117027282715,-43.518775939941406,https://www.tripadvisor.com.br/Restaurant_Review-g3845586-d6628450-Reviews-Ze_Trembeco_Bistro-Santa_Rita_de_Ouro_Preto_Ouro_Preto_State_of_Minas_Gerais.html
19884888,Seu José,"Rua São José, 52, Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,72,US$ 4 - US$ 13,-20.384281158447266,-43.5063591003418,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d19884888-Reviews-Seu_Jose-Ouro_Preto_State_of_Minas_Gerais.html
4532142,Bar Lanchonete E Pizzaria Satélite,"Rua Cde Bobadela, 97 Centro, Ouro Preto, Minas Gerais Brasil",Ouro Preto ,4.0,204,indef,-20.385278701782227,-43.504722595214844,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d4532142-Reviews-Bar_Lanchonete_E_Pizzaria_Satelite-Ouro_Preto_State_of_Minas_Gerais.html
1065101,Café & Cia,"Rua São José 187, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,126,indef,-20.385053634643555,-43.507102966308594,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d1065101-Reviews-Cafe_Cia-Ouro_Preto_State_of_Minas_Gerais.html
3876486,Taberna Casa Antiga,"Rua Alto do Campo 215, Lavras Novas, Ouro Preto, Minas Gerais 35418-000 Brasil",Lavras Novas ,4.0,466,indef,-20.47090721130371,-43.51919937133789,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d3876486-Reviews-Taberna_Casa_Antiga-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
10767949,Mr. Cheff Hamburgueria,"Rua Direita, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,146,indef,-20.385305404663086,-43.5053825378418,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d10767949-Reviews-Mr_Cheff_Hamburgueria-Ouro_Preto_State_of_Minas_Gerais.html
13822533,Taberna Music Bar,"Praca Tiradentes 64 Praca, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,83,indef,-20.385164260864258,-43.50366973876953,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d13822533-Reviews-Taberna_Music_Bar-Ouro_Preto_State_of_Minas_Gerais.html
18976814,Restaurante Dus prazeres,"R. Nossa Sra. dos Prazeres 761, Lavras Novas, Ouro Preto, Minas Gerais 35418-000 Brasil",Lavras Novas ,4.5,67,indef,-20.47591209411621,-43.520328521728516,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d18976814-Reviews-Restaurante_Dus_prazeres-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
1065093,Adega Ouro Preto,"Rua Teixeira Amaral 24 Centro Hitórico, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,213,indef,-20.384389877319336,-43.50714874267578,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d1065093-Reviews-Adega_Ouro_Preto_Restaurante_e_Pizzaria-Ouro_Preto_State_of_Minas_Gerais.html
10396829,Brahmeiros Bar,"Rua Nossa Senhora dos Prazeres Rua Nossa Senhora Dos Prazeres, Lavras Novas, Ouro Preto, Minas Gerais 35400-000 Brasil",Lavras Novas ,4.5,71,US$ 2 - US$ 9,-20.477386474609375,-43.51673889160156,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d10396829-Reviews-Brahmeiros_Bar-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
6614421,Taberna da Cachoeira,"Fazenda Do Engenho, Lavras Novas, Ouro Preto, Minas Gerais Brasil",Lavras Novas ,4.5,54,indef,-20.513235092163086,-43.484230041503906,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d6614421-Reviews-Taberna_da_Cachoeira-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
6405476,Pizza Nostra,"Rua Nossa Senhora Dos Prazeres, 114, Lavras Novas, Ouro Preto, Minas Gerais 30400-000 Brasil",Lavras Novas ,4.5,93,indef,-20.478273391723633,-43.512996673583984,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d6405476-Reviews-Pizza_Nostra-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
4288973,Espaço Cultural Santo Graal,"Rua Nossa Senhora dos Prazeres, 150, Lavras Novas, Ouro Preto, Minas Gerais Brasil",Lavras Novas ,4.0,334,indef,-20.478303909301758,-43.513240814208984,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d4288973-Reviews-Espaco_Cultural_Santo_Graal-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
5339695,Restaurante Spaghetti,"Rua Conde de Bobadela 138 Zona 01, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,299,indef,-20.38522720336914,-43.505069732666016,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5339695-Reviews-Restaurante_Spaghetti-Ouro_Preto_State_of_Minas_Gerais.html
7212128,Restaurante Recanto do Gabiru,"Rua Nossa Senhora dos Prazeres, 701, Lavras Novas, Ouro Preto, Minas Gerais Brasil",Lavras Novas ,4.0,132,indef,-20.476110458374023,-43.5197639465332,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d7212128-Reviews-Restaurante_Recanto_do_Gabiru-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
7594972,Lanches Do Baby,"Rua Xavier Da Veiga, 127 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,56,indef,-20.38669204711914,-43.50505447387695,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d7594972-Reviews-Lanches_Do_Baby-Ouro_Preto_State_of_Minas_Gerais.html
8481616,La Capella Pizza Pub,"Praca Santo Antonio 16 Centro, Cachoeira do Campo, Ouro Preto, Minas Gerais 35410-000 Brasil",Cachoeira do Campo ,4.5,45,indef,-20.346147537231445,-43.66570281982422,https://www.tripadvisor.com.br/Restaurant_Review-g3844566-d8481616-Reviews-La_Capella_Pizza_Pub-Cachoeira_do_Campo_Ouro_Preto_State_of_Minas_Gerais.html
5869214,O Sotão,"rua são josé, 201 em cima do hsbc, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,123,indef,-20.385147094726562,-43.507362365722656,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5869214-Reviews-O_Sotao-Ouro_Preto_State_of_Minas_Gerais.html
13368225,Meu Waffle,"Rua Conde de Bobadela nº 26, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,35,US$ 2 - US$ 5,-20.385343551635742,-43.50416564941406,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d13368225-Reviews-Meu_Waffle-Ouro_Preto_State_of_Minas_Gerais.html
10729607,Pousada e Restaurante Serra Do Luar,"R. Nossa Sra. dos Prazeres, 180 Ouro Preto, Lavras Novas, Ouro Preto, Minas Gerais 35418-970 Brasil",Lavras Novas ,4.0,62,indef,-20.477994918823242,-43.51259231567383,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d10729607-Reviews-Pousada_e_Restaurante_Serra_Do_Luar-Lavras_Novas_Ouro_Preto_State_of_Minas_Gera.html
10321474,Restaurante Tiradentes,"Rua Amalia Bernhaus 25 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,137,indef,-20.386083602905273,-43.50325012207031,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d10321474-Reviews-Restaurante_Tiradentes-Ouro_Preto_State_of_Minas_Gerais.html
12883800,Restaurante 7 de Ouro,"Rua Bernardo de Vasconcelos 98, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,63,indef,-20.385818481445312,-43.50146484375,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d12883800-Reviews-Restaurante_7_de_Ouro-Ouro_Preto_State_of_Minas_Gerais.html
4530739,Biz E Biu Café Comércio E Restaurante,"Rua Xavier Veiga, 315 Centro, Ouro Preto, Minas Gerais Brasil",Ouro Preto ,4.0,85,indef,-20.38814926147461,-43.504249572753906,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d4530739-Reviews-Biz_E_Biu_Cafe_Comercio_E_Restaurante-Ouro_Preto_State_of_Minas_Gerais.html
5650149,Hamburgueria Pão de Queijo Gourmet,"Rua Barão de Camargos, 22, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,232,US$ 2 - US$ 6,-20.384754180908203,-43.50341796875,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5650149-Reviews-Hamburgueria_Pao_de_Queijo_Gourmet-Ouro_Preto_State_of_Minas_Gerais.html
8407862,Confeitaria Largo do Rosário,"Largo do Rosario 91, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,42,indef,-20.384199142456055,-43.509979248046875,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d8407862-Reviews-Confeitaria_Largo_do_Rosario-Ouro_Preto_State_of_Minas_Gerais.html
8631835,Quinto do Ouro Restaurante,"Rua Conde de Bobadela, 76 Rua Direita, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,118,US$ 5 - US$ 9,-20.3853702545166,-43.504600524902344,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d8631835-Reviews-Quinto_do_Ouro_Restaurante-Ouro_Preto_State_of_Minas_Gerais.html
4527020,Bandeirantes Grill,"Rua Nova, 43 Centro, Cachoeira do Campo, Ouro Preto, Minas Gerais 35410-000 Brasil",Cachoeira do Campo ,4.0,124,US$ 7 - US$ 20,-20.347929000854492,-43.6755256652832,https://www.tripadvisor.com.br/Restaurant_Review-g3844566-d4527020-Reviews-Bandeirantes_Grill-Cachoeira_do_Campo_Ouro_Preto_State_of_Minas_Gerais.html
2389402,Forno de Barro,"Praça Tiradentes 54, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,3.5,146,indef,-20.385093688964844,-43.50360870361328,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d2389402-Reviews-Forno_de_Barro-Ouro_Preto_State_of_Minas_Gerais.html
14062637,Queijaria Tesouros da Canastra,"Rua Getúlio Vargas, 26, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,5.0,31,US$ 3 - US$ 6,-20.38532257080078,-43.5079231262207,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d14062637-Reviews-Queijaria_Tesouros_da_Canastra-Ouro_Preto_State_of_Minas_Gerais.html
5869462,Restaurante Pimenta de Cheiro ,"Rua Joao Pedro Da Silva - Bauxita, Ouro Preto, Minas Gerais Brasil",Ouro Preto ,4.0,42,indef,-20.399982452392578,-43.51220703125,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5869462-Reviews-Restaurante_Pimenta_de_Cheiro-Ouro_Preto_State_of_Minas_Gerais.html
5394834,Consola's Bar Lanches,"Rua da Conceicao 18 Boa Vista De Sao Caetano, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,62,indef,-20.386568069458008,-43.50117874145508,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5394834-Reviews-Consola_s_Bar_Lanches-Ouro_Preto_State_of_Minas_Gerais.html
12866199,Casa Glaura,"Largo Frei Vicente Botelho, 101, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,27,US$ 6 - US$ 13,-20.389081954956055,-43.50162887573242,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d12866199-Reviews-Casa_Glaura-Ouro_Preto_State_of_Minas_Gerais.html
6958907,Estrada Real hamburgueria,"Rua São José , 143, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,54,indef,-20.38465690612793,-43.50713348388672,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d6958907-Reviews-Estrada_Real_hamburgueria-Ouro_Preto_State_of_Minas_Gerais.html
5351148,Ouro Beer Restaurante,"Rua Manoel Elías de Águiar, 140, Ouro Preto, Minas Gerais 31330-520 Brasil",Ouro Preto ,4.0,48,indef,-19.874631881713867,-43.99026870727539,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5351148-Reviews-Ouro_Beer_Restaurante-Ouro_Preto_State_of_Minas_Gerais.html
8769491,Empório Caza Branca,"Rua Augusto Cesar Cruz, 78 Glaura, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,44,US$ 32 - US$ 56,-20.293197631835938,-43.64374542236328,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d8769491-Reviews-Emporio_Caza_Branca-Ouro_Preto_State_of_Minas_Gerais.html
5728530,Lanchonete Maria Bonita,"Praca Tiradentes 134 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,67,indef,-20.385799407958984,-43.503849029541016,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5728530-Reviews-Lanchonete_Maria_Bonita-Ouro_Preto_State_of_Minas_Gerais.html
11694282,Gaia Burger & Beer,"Rua Nossa Senhora dos Prazeres 315, Lavras Novas, Ouro Preto, Minas Gerais 35400-000 Brasil",Lavras Novas ,4.5,42,indef,-20.408538818359375,-43.492488861083984,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d11694282-Reviews-Gaia_Burger_Beer-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
10026065,Caiana,"Rua Nossa Senhora dos Prazeres 645, Lavras Novas, Ouro Preto, Minas Gerais 35400-000 Brasil",Lavras Novas ,4.0,47,indef,-20.476375579833984,-43.5191650390625,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d10026065-Reviews-Caiana-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
6033915,Chopp Real,"Rua Barao De Camargos8 - Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,3.5,277,indef,-20.38482093811035,-43.50331497192383,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d6033915-Reviews-Chopp_Real-Ouro_Preto_State_of_Minas_Gerais.html
3514409,Hannah Asian Sushi Bar,"Rua Getúlio Vargas, 241, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,154,indef,-20.383880615234375,-43.50910186767578,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d3514409-Reviews-Hannah_Asian_Sushi_Bar-Ouro_Preto_State_of_Minas_Gerais.html
7715701,Vivenda - Lanchonete Empório,"Rodovia dos Inconfidentes, Km 79, Ouro Preto, Minas Gerais 34000-010 Brasil",Ouro Preto ,4.0,35,indef,-20.36386489868164,-43.64981460571289,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d7715701-Reviews-Vivenda_Lanchonete_Emporio-Ouro_Preto_State_of_Minas_Gerais.html
5868953,Taberna Luxor,"R. Dr. Alfredo Baeta, 16, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,38,indef,-20.38703727722168,-43.50094985961914,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5868953-Reviews-Taberna_Luxor-Ouro_Preto_State_of_Minas_Gerais.html
5869281,Restaurante Grande Hotel ,"Rua Das Flores, Ouro Preto, Minas Gerais Brasil",Ouro Preto ,4.5,40,indef,-20.394350051879883,-43.49287033081055,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5869281-Reviews-Restaurante_Grande_Hotel-Ouro_Preto_State_of_Minas_Gerais.html
5755246,Sanduiche Ouro Preto,"Rua Claudio Manoel 20 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,30,indef,-20.385679244995117,-43.50336837768555,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5755246-Reviews-Sanduiche_Ouro_Preto-Ouro_Preto_State_of_Minas_Gerais.html
5362319,Restaurante Serra Do Luar,"Rua Principal, 119 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,36,indef,-20.36762046813965,-43.701820373535156,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5362319-Reviews-Restaurante_Serra_Do_Luar-Ouro_Preto_State_of_Minas_Gerais.html
4535313,Restaurante Tudo A Kilo,"R Diogo De Vasconcelos, 116 Pilar, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,31,indef,-20.38800048828125,-43.5069694519043,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d4535313-Reviews-Restaurante_Tudo_A_Kilo-Ouro_Preto_State_of_Minas_Gerais.html
13693229,Dirceu Café Bar,"Largo Marilia de Dirceu 18, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,55,US$ 1 - US$ 17,-20.38759422302246,-43.49971389770508,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d13693229-Reviews-Dirceu_Cafe_Bar-Ouro_Preto_State_of_Minas_Gerais.html
5869831,Vovô Lilica,"Rua Joao Pedro Da Silva, 511 - Bauxita, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,27,indef,-20.400339126586914,-43.511749267578125,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5869831-Reviews-Vovo_Lilica-Ouro_Preto_State_of_Minas_Gerais.html
5392205,Restaurante La Cave,"Rua Professor Paulo Magalhaes Gomes, 320 Bauxita, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,51,US$ 2 - US$ 9,-20.399560928344727,-43.508148193359375,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5392205-Reviews-La_Cave-Ouro_Preto_State_of_Minas_Gerais.html
