estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Shayene C,2019-06-08,2019-03-14,5.0,"Visita agradável ","Fomos varias vezes e sempre vale muito a pena. Todos os rótulos são maravilhosos. Cerveja de qualidade mesmo, recomendo de olhos fechados!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,magnojose1971,2019-06-04,2018-10-14,4.0,"Qualidade","Cerveja artesanal com 10 anos de tradição e qualidade em Ouro Preto MG, além de um bom cardápio de pratos."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,SergioAlbino,2019-05-14,2019-05-14,5.0,"cerveja de qualidade em ouro preto","a cervejaria ouropretana fica um pouco afastado do centro, uns 15 minutos descendo as ladeiras de ouro preto, mas quando você chega lá, não só valeu a pena como você não quer sair.
Um ambiente tranquilo, com cervejas de altissima qualidade com um preço justissimo...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Camila D,2019-04-24,2019-04-14,5.0,"Excelente lugar!!","Aperitivos fantásticos...Torresmo sensacional e bruschetta de tomate sem igual! Chopp fresquinho para acompanhar! Realmente um lugar que vale a pena conhecer!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Vivis_Ribeiro,2019-03-23,2019-02-14,4.0,"Excelente para um happy hour!","Uma visita à Cervejaria Ouropretana é uma excelente opção para um happy hour, uma vez que eles fecham cedo.
A casa tem um espaço agradável,com uma decoração bem descolada e uma equipe simpática. O cardápio têm opções diferentes e gostosas de petiscos para dividir, além...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,analuciaquino,2019-03-20,2019-03-14,5.0,"Lugar muito agradável!","Lugar delicioso! A cerveja é ótima! O cardápio é cheio de gostosuras, experimentei o torresmo e o bolinho de carne, ambos divinos! Voltarei com certeza!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,carlosfilho7,2019-03-20,2019-03-14,5.0,"Cervejaria Absurda de Boa","Sabor, atendimento e preço incomparáveis!  
Atendimento da garçonete Alessandra e a sensibilidade do chef Marcos é o que há de melhor no lugar. 
A tábua de degustação dos chopps é uma boa pedida para quem aprecia boas cervejas/chopp que não deixam em desejar em nada....Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Daniel P,2019-03-04,2019-02-14,4.0,"Ótimo","Cervejas interessantes (a pilsen maravilhosa), petiscos saborosos, equipe amigável, atmosfera descontraída; recomendado!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Expedition819593,2019-02-14,2019-02-14,5.0,"Imperdível!!!","Cardápio de buteco.... comida maravilhosa com preço justo e atendimento impecável acompanhada do melhor chope de Ouro Preto...RECOMENDO!!!!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,KkPeixoto,2019-02-12,2019-01-14,5.0,"Cerveja e petiscos deliciosos","Dos bares que fui, realmente foi o melhor. Cervejinha gostosa e petiscos deliciosos e bem servidos. Porções com ótimo custo benefício. Ambiente agradavel e atendimento atencioso."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Mirelle K,2019-02-11,2019-02-14,3.0,"Vale a visita","Estabelecimento mais afastado do centro, com boa opção de estacionamento. Ambiente estiloso e boa carta de cerveja. Preço justo. O teto é mais baixo, o que gera um pouco de ruído devido a música e conversas em tom mais elevado, assemelhando o local a um...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Emilia M,2019-02-09,2019-02-14,5.0,"Superou expectativas","Soube do lugar pesquisando lugares interessantes eu Ouro Preto. Ao vivo é infinitamente melhor. Atendimento impecável, a moça muito atenciosa nos explicou sobre as cervejas para formarmos a nossa tábua. 
Pedimos o Amor aos pedaços que é sem comparação: suculento e com casquinha crocante.  Trouxemos...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,DIVA2561,2019-01-30,2018-03-14,4.0,"Deliciosas cervejas artesanais","A cervejaria Ouropretana é um otimo lugar para se degustar um chope diferenciado e exclusivos sabores, acompanhado por deliciosos petiscos."
