restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,faixa_preco,latitude,longitude,fonte
14927775,Rota V8 Rock Bar,"Rua Itaguá 150 São Sebastião, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,3,$,-20.141695022583008,-44.20587158203125,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d14927775-Reviews-Rota_V8_Rock_Bar-Brumadinho_State_of_Minas_Gerais.html
5759669,Sorveteria Sabor Gelado,"Praca Paulo Alves Moreira 57 Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,9,$,-20.137853622436523,-44.219627380371094,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5759669-Reviews-Sorveteria_Sabor_Gelado-Brumadinho_State_of_Minas_Gerais.html
6425636,Restaurante Cerrado Mineiro,"Rodovia Mg 040 Povoado Do Caju, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,4,indef,-20.147720336914062,-44.19932174682617,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d6425636-Reviews-Restaurante_Cerrado_Mineiro-Brumadinho_State_of_Minas_Gerais.html
12871955,#Hashtag Bar,"Rua Rio Sao Francisco 196, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,3,indef,-20.146324157714844,-44.19820785522461,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d12871955-Reviews-Hashtag_Bar-Brumadinho_State_of_Minas_Gerais.html
12252739,Açaiteria Mix,"Rua Rio Paraopeba 14 AO Lado DO Antigo Predio DO Inss., Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,2,indef,-20.1453857421875,-44.2001838684082,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d12252739-Reviews-Acaiteria_Mix-Brumadinho_State_of_Minas_Gerais.html
11925544,Almazen Gourmet,"Avenida Francisco dos Santos, 350 Corrego Ferreira, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,3,indef,-20.097593307495117,-44.05508041381836,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d11925544-Reviews-Almazen_Gourmet-Brumadinho_State_of_Minas_Gerais.html
7234353,World Burguer,"Rua Reinaldo Pinto Vieira 408, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,5,indef,-20.148664474487305,-44.202396392822266,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d7234353-Reviews-World_Burguer-Brumadinho_State_of_Minas_Gerais.html
5657931,Panificadora & Lanchonete Machado,"Rua Itagua, 191 S Sebastiao, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,4,indef,-20.142269134521484,-44.20610809326172,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5657931-Reviews-Panificadora_Lanchonete_Machado-Brumadinho_State_of_Minas_Gerais.html
5868758,Restaurante Dona Carmita,"Mg 040, Km 49, Brumadinho, Minas Gerais Brasil",Brumadinho ,3.0,27,$$ - $$$,-20.13990020751953,-44.17604064941406,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5868758-Reviews-Restaurante_Dona_Carmita-Brumadinho_State_of_Minas_Gerais.html
11435813,Restaurante Aconchego da Serra Nao existe mais,"Avenida Casa Branca 2472, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,3,$$ - $$$,-20.0833797454834,-44.0436897277832,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d11435813-Reviews-Restaurante_Aconchego_da_Serra_Nao_existe_mais-Brumadinho_State_of_Minas_Gerais.html
8430371,Venda dos Turcos,"Rua Jesuina Bernardino Pinto 413, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,5,$$ - $$$,-20.199188232421875,-44.100921630859375,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d8430371-Reviews-Venda_dos_Turcos-Brumadinho_State_of_Minas_Gerais.html
23120697,Café Da Cleide,"Avenida Casa Branca, 75 Casa Branca, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,1,$,-20.093809127807617,-44.04618835449219,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d23120697-Reviews-Cafe_Da_Cleide-Brumadinho_State_of_Minas_Gerais.html
8238438,Burgueria Trem Bao,"Rua Aurora Gomes do Prado 23 Grajau, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,3,indef,-20.147701263427734,-44.217498779296875,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d8238438-Reviews-Burgueria_Trem_Bao-Brumadinho_State_of_Minas_Gerais.html
5348415,Casa De Massas - Trattoria,"Avenida Casa Branca, 562 Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,3,indef,-20.081262588500977,-44.04541778564453,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5348415-Reviews-Casa_De_Massas_Trattoria-Brumadinho_State_of_Minas_Gerais.html
17733339,Confraria 49,"Rod. MG 040 Km 49, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,1,$,-20.323810577392578,-44.242069244384766,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d17733339-Reviews-Confraria_49-Brumadinho_State_of_Minas_Gerais.html
8015684,Café Adora Ltda,"Avenida Casa Branca 524B, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,2,indef,-20.080974578857422,-44.04561233520508,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d8015684-Reviews-Cafe_Adora_Ltda-Brumadinho_State_of_Minas_Gerais.html
5377745,Delicima,"Rua Quintino Bocaiuva 179 Funcionarios, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,3,indef,-20.14212989807129,-44.20070266723633,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5377745-Reviews-Delicima-Brumadinho_State_of_Minas_Gerais.html
8242503,Padaria Sao Conrado,"Rua Carlos Nogueira 2 S Conrado, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,2,indef,-20.142602920532227,-44.20924758911133,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d8242503-Reviews-Padaria_Sao_Conrado-Brumadinho_State_of_Minas_Gerais.html
5752223,Restaurante e Lanchonete Nossa Casa,"Praca Paulo Alves Moreira 57 Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,3,$,-20.137853622436523,-44.219627380371094,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5752223-Reviews-Restaurante_e_Lanchonete_Nossa_Casa-Brumadinho_State_of_Minas_Gerais.html
