estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo,origem
Santa Matula - Casa Bistrô,14140408,restaurante-review,cassio181,2019-10-16,2019-10-06,5.0,"Comida mineira de qualidade","Deliciosa comida mineira , feita para voce e em casa ! D.Ana e cozinheira de mão cheia ! Funciona assim vocês escolhe o cardápio via wats up elas fazem para especialmente você e te servem na casa delas, a costelinha sem gordura nenhuma um sabor maravilhoso couve fresca , feijão novinho , tudo feito por quem sabe , e ainda a experiencia de ser recebido num casarão de Ouro Preto , simplesmente sensacional ! Obrigado D Ana !","Belo Horizonte, MG"
Santa Matula - Casa Bistrô,14140408,restaurante-review,faiala,2019-09-22,2019-09-06,5.0,"Uma casa acolhedora com uma comida incrível!","A dona, Adriana, te abraça com um sorriso intenso ao abrir a porta, e ao subir alguns degraus o casarão te acolhe num afago gostoso de uma atmosfera intimista. A comida, escolhida no momento da reserva, chega fresca, rapidinha e DE-LI-CI-O-SA!
Foi uma experiência incrível que merece ser sentida e apreciada inúmeras vezes!","Ouro Preto, MG"
Santa Matula - Casa Bistrô,14140408,restaurante-review,anapaulamatos2311,2019-09-21,2019-09-06,5.0,"Excelente!!","Super recomendo! Uma experiência diferente, mas muito bacana! É a casa da Adriana, que é super simpática, desde o primeiro contato, chegamos no horário combinado e nos deliciamos com um tutu a mineira DIVINO!!! O prato atende duas pessoas perfeitamente. Com certeza voltaremos em outra oportunidade.","Belo Horizonte, MG"
Santa Matula - Casa Bistrô,14140408,restaurante-review,thamyresmarques88,2019-09-17,2019-09-06,5.0,"Deliciosa Experiência","Tive a deliciosa oportunidade de apreciar o café da manhã e jantar do Santa Matula.
Adriana e dona Ana são mulheres sensacionais que amam o que fazem. Café da manhã bem variado, com pães, queijo, geleia, ovos mexidos, frutas, suco, leite, pão de queijo... Gostei especialmente do iogurte caseiro e do bolo de cenoura com cobertura de chocolate, hummm.
O jantar é muito bem servido, com direito a entrada, prato principal, vinho (ou até uma cachacinha) e um cafezinho maravilhoso com música ambiente (ouvimos Astor Piazzolla) em um casarão muito bem decorado. Eu e meu marido pedimos o prato “Maria do Ouro Fino” que vem frango caipira com quiabo acompanhado de um maravilhoso angu cremoso de milho verde, arroz branco e feijão batido, tudo muito bem temperado e gostoso. Fomos recebidos com muito carinho e com certeza voltaremos!!!","Vitória, ES"
Santa Matula - Casa Bistrô,14140408,restaurante-review,marcelalopezz,2019-09-08,2019-09-06,5.0,"Restaurante familiar e delicioso - imperdível ","Localizado em um casarão colonial típico, muito bem decorado. Adriana e Dona Ana são ótimas anfitriãs e nos oferecem comida mineira da melhor qualidade, com direito à bebida aperitiva, entrada, prato principal, sobremesa e cafezinho. Destaque para o creme de alho poró e para a costelinha com molho de rapadura e gengibre. Eu e minha família queremos voltar a Ouro Preto para nos hospedarmos lá também (quartos Airbnb) e experimentar o café da manhã.","Rio de Janeiro, RJ"
Santa Matula - Casa Bistrô,14140408,restaurante-review,VivianeRacioppi,2019-08-31,2019-08-06,5.0,"Ótima experiência!","Fomos recebidos pela simpática Adriana e por sua mãe. É um ambiente familiar e aconchegante. Por ser a casa da família, deve-se reservar com antecedência e escolher o cardápio também anteriormente. A comida é deliciosa! Vale a experiência! Recomendo!","Belo Horizonte, MG"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Heloisa B,2019-08-26,2019-08-06,5.0,"experiência deliciosa - comida deliciosa e boa acolhida","um jantar deliciosa na casa de mineiras que recebem com carinho. a comida é deliciosa. éramos 8 e combinamos 2 pratos: costelinhas defumadas com molho de rapadura e purê de batata com queijo mineiro e frango com quiabo com angu de milho verde. as entradinhas estavam saborosas, especialmente a batata chips com creme de queijos. a goiabada, o doce de leite, o doce de figo, a ambrosia e o queijo do serro estavam maravilhosos. é preciso combinar com antecedência, pois elas recebem apenas um grupo por vez e tudo é feito na hora e conforme combinado. adriana e ana maria recebem com amor e competência. voltarei!!!","São Paulo, SP"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Seaside23785245526,2019-08-10,2019-08-06,5.0,"Uma experiência de hospitalidade e delicada comida mineira. Uma experiencia,não! voltamos no dia seguinte","Adriana e Ana nos receberam em casa para jantares previamente acertados. Os pratos revelaram muito sobre uma culinária mineira autêntica e com sabores mais sutis que em bons restaurantes dessa culinária. Deve-se a um preparo e a ingredientes selecionados por Adriana e Ana, que esbanjam simpatia e compromisso.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,mirosantanna,2019-07-30,2019-07-06,5.0,"Comida de casa","Excelente recepção e comida de Adriana. Preços justos. Muito prestativa e aberta em relação ao cardápio. Com opções vegetarianas. Ganhamos um dengo a mais na entrada com um bolinho de espinafre que não tinha no cardápio. Minha farofinha do PF estava fria, mas nada que atrapalhasse a experiência. Tudo muito bem temperado e delicioso. Uma experiência única e que vale muito a pena.","Ouro Preto, MG"
Santa Matula - Casa Bistrô,14140408,restaurante-review,luana v,2019-07-23,2019-07-06,5.0,"Tudo maravilhoso!","Não tem preço ser recebida num aconchegante casarão colonial e quanto a comida, simplesmente a melhor experiência gastronômica que tive em ouro preto!",indef
