restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,faixa_preco,latitude,longitude,fonte
5389296,Planeta Burguer,"Av. Sílvio Felício dos Santos, 667, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,1,indef,-18.24176025390625,-43.60615158081055,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5389296-Reviews-Planeta_Burguer-Diamantina_State_of_Minas_Gerais.html
5704197,Degrau 61 Bar,"Beco da Tecla 61 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,indef,0,indef,-18.245319366455078,-43.59714889526367,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5704197-Reviews-Degrau_61_Bar-Diamantina_State_of_Minas_Gerais.html
8225827,Bar E Lanchonete Piramide,"Rua Padre Bartolomeu Sipolis 17 Vila Operaria, Diamantina, Minas Gerais 39100-971 Brasil",Diamantina ,indef,0,indef,-18.245742797851562,-43.603363037109375,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d8225827-Reviews-Bar_E_Lanchonete_Piramide-Diamantina_State_of_Minas_Gerais.html
5673029,Bar Barroca,"Rua Do Progresso, SN Sen Mourao, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,indef,0,indef,-17.80447006225586,-43.4146614074707,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5673029-Reviews-Bar_Barroca-Diamantina_State_of_Minas_Gerais.html
5711041,Fogo De Palha,"Rua Da Palha, 1085 Palha, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,indef,0,indef,-18.255239486694336,-43.58414840698242,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5711041-Reviews-Fogo_De_Palha-Diamantina_State_of_Minas_Gerais.html
8246665,Nane Biscoitos,"Rua da Gloria 11 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,indef,0,indef,-18.242265701293945,-43.599143981933594,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d8246665-Reviews-Nane_Biscoitos-Diamantina_State_of_Minas_Gerais.html
8247691,Acaideira Do Vale,"Rua das Monteiras 91 D Joao, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,indef,0,indef,-18.2449893951416,-43.60240936279297,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d8247691-Reviews-Acaideira_Do_Vale-Diamantina_State_of_Minas_Gerais.html
8170806,Buffet Novo Sabor,"Avenida Joao Antunes 859 Cazuza, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,indef,0,indef,-18.234529495239258,-43.60873031616211,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d8170806-Reviews-Buffet_Novo_Sabor-Diamantina_State_of_Minas_Gerais.html
5685754,Bar Pe Da Serra,"Rua Das Camelias, 374 Jardim, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,indef,0,indef,-18.242429733276367,-43.59122848510742,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5685754-Reviews-Bar_Pe_Da_Serra-Diamantina_State_of_Minas_Gerais.html
5365353,Ponto Da Empada,"Praca das Missoes 52 Aeroporto, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,indef,0,indef,-18.244930267333984,-43.60295104980469,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5365353-Reviews-Ponto_Da_Empada-Diamantina_State_of_Minas_Gerais.html
5684152,Bar Helo De Ouro,"Vila Sen Mourao SN Sen Mourao, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,indef,0,indef,-17.80447006225586,-43.4146614074707,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5684152-Reviews-Bar_Helo_De_Ouro-Diamantina_State_of_Minas_Gerais.html
5741537,Panificacao Brasil,"Largo D Joao, SN D Joao, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,indef,0,indef,-18.24643898010254,-43.60246658325195,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5741537-Reviews-Panificacao_Brasil-Diamantina_State_of_Minas_Gerais.html
